,docid,model,nonfactual_spans,evidence,summary,factual_error,error_type,dialogue,origin,linguistic_categories
1063,test_261,BART,[],[],Joe wasn't impressed with Tom's new assistant.,0,[],"#Person1#: Hi Joe. You met my new assistant, right?
#Person2#: Emm. . . yes. But I wasn't too impressed. I found her a little stuck up.
#Person1#: You are kidding, but she's so helpful.
#Person2#: Tom. . . you are her boss, you kown. Of course, she's helpful to you.
#Person1#: Come on. She's like that with everyone.
#Person2#: I don't think so actually. She never even says 'hello' to me.",DialogSum,[]
1066,test_261,GPT-4,[],[],"Person1 and Person2 are discussing Person1's new assistant. Person1 finds her helpful, but Person2 feels that she is stuck up and doesn't greet him.",0,[],"#Person1#: Hi Joe. You met my new assistant, right?
#Person2#: Emm. . . yes. But I wasn''t too impressed. I found her a little stuck up.
#Person1#: You are kidding, but she''s so helpful.
#Person2#: Tom. . . you are her boss, you kown. Of course, she''s helpful to you.
#Person1#: Come on. She''s like that with everyone.
#Person2#: I don''t think so actually. She never even says ''hello'' to me.",DialogSum,[]
1067,test_261,Alpaca-13B,"[""Joe's new assistant""]","['#Person1# :  Hi Joe. You met my new assistant, right?']","Joe's new assistant is not very friendly to #Person2#, but Joe thinks she is helpful to everyone. #Person2# doubts this and points out that she has not even said 'hello' to her.",1,['Intrinsic_Error'],"#Person1#: Hi Joe. You met my new assistant, right?
#Person2#: Emm. . . yes. But I wasn''t too impressed. I found her a little stuck up.
#Person1#: You are kidding, but she''s so helpful.
#Person2#: Tom. . . you are her boss, you kown. Of course, she''s helpful to you.
#Person1#: Come on. She''s like that with everyone.
#Person2#: I don''t think so actually. She never even says ''hello'' to me.",DialogSum,['Referential Error']
1069,test_194,BART,"[""#Person2#'s""]",[],##Person1# can't find #Person2#'s cellphone in the hotel room. Linda will call the bakery to pick it up.,1,['Intrinsic_Error'],"#Person1#: Linda, I can't find my cellphone anywhere in this hotel room! Could you call it?
#Person2#: OK, I'm calling it.
#Person1#: I don't hear anything. I think the batteries dead.
#Person2#: Oh, no? How are you going to find it? We have to leave for the wedding in 15 minutes.
#Person1#: Well, maybe I won't take my cellphone to the wedding. Do I need it?
#Person2#: Yes, you need it. My sister might call you to tell us how the kids are doing. Maybe it's in the car.
#Person1#: I remember where it is. I left it in the bakery where we ate breakfast.
#Person2#: OK, well, I need to call my sister to tell her you lost your phone. Then I'll call the bakery. If the bakery is still open, maybe we can pick it up before we go to the wedding. Please keep your phone in your pocket next time.",DialogSum,['Referential Error']
1072,test_194,GPT-4,[],[],"Person1 loses their cellphone and cannot find it in their hotel room. Person2 tries to call it, but it appears that the battery is dead. They need the phone because Person2's sister might call with updates about their kids. Person1 then recalls that they might have left the phone in a bakery where they had breakfast. Person2 plans to inform her sister about the situation and then call the bakery, hoping to retrieve the phone before going to a wedding they have to attend. She asks Person1 to keep the phone in their pocket next time.",0,[],"#Person1#: Linda, I can''t find my cellphone anywhere in this hotel room! Could you call it?
#Person2#: OK, I''m calling it.
#Person1#: I don''t hear anything. I think the batteries dead.
#Person2#: Oh, no? How are you going to find it? We have to leave for the wedding in 15 minutes.
#Person1#: Well, maybe I won''t take my cellphone to the wedding. Do I need it?
#Person2#: Yes, you need it. My sister might call you to tell us how the kids are doing. Maybe it''s in the car.
#Person1#: I remember where it is. I left it in the bakery where we ate breakfast.
#Person2#: OK, well, I need to call my sister to tell her you lost your phone. Then I''ll call the bakery. If the bakery is still open, maybe we can pick it up before we go to the wedding. Please keep your phone in your pocket next time.",DialogSum,[]
1073,test_194,Alpaca-13B,['Linda lost her cellphone in the hotel room'],"[""#Person1# :  Linda, I can't find my cellphone anywhere in this hotel room! Could you call it?""]","Linda lost her cellphone in the hotel room and Person2 is helping her to find it. Person2 calls the cellphone and then suggests that Linda check other possible places where she might have left it, such as the car. Person2 also suggests that Linda keep her phone in her pocket in the future to avoid similar situations.",1,['Intrinsic_Error'],"#Person1#: Linda, I can''t find my cellphone anywhere in this hotel room! Could you call it?
#Person2#: OK, I''m calling it.
#Person1#: I don''t hear anything. I think the batteries dead.
#Person2#: Oh, no? How are you going to find it? We have to leave for the wedding in 15 minutes.
#Person1#: Well, maybe I won''t take my cellphone to the wedding. Do I need it?
#Person2#: Yes, you need it. My sister might call you to tell us how the kids are doing. Maybe it''s in the car.
#Person1#: I remember where it is. I left it in the bakery where we ate breakfast.
#Person2#: OK, well, I need to call my sister to tell her you lost your phone. Then I''ll call the bakery. If the bakery is still open, maybe we can pick it up before we go to the wedding. Please keep your phone in your pocket next time.",DialogSum,['Referential Error']
1076,13828281,BART,"[None, None, None]",[],The top management is coming from France next week. Jacob and Alex got an invitation via Outlook to the meeting. There will be a formal dress code required.,1,"['Intrinsic_Error', 'Intrinsic_Error', 'Intrinsic_Error']","Jacob: Hey, guess what, top management is coming from France next week.
Alex: Hey, again? They just announced it?
Jacob: Yeah, we got an invitation via Outlook to the meeting.
Jacob: And mandatory formal dress code required.
Alex: OMG, I wonder what they're goin to announce this time.
Jacob: The usual, cost savings, lean office, lack of salary reviews...
Jacob: You know how it is, their visits never result in anything positive.
Alex: That's true, changes for the worse.",FacEval,['Referential Error']
1078,13828281,GPT-4,[],[],"Jacob informs Alex that top management from France is coming to visit their office next week, as announced through an Outlook invitation. They are required to dress formally for the meeting. Alex expresses surprise and apprehension about the purpose of the visit. Jacob surmises that the management is likely to discuss cost-saving measures, lean office tactics, and potential freezes on salary reviews. Both express negative sentiments about these visits, suspecting the changes associated with them tend to be unfavorable.",0,[],"Jacob: Hey, guess what, top management is coming from France next week.
Alex: Hey, again? They just announced it?
Jacob: Yeah, we got an invitation via Outlook to the meeting.
Jacob: And mandatory formal dress code required.
Alex: OMG, I wonder what they''re goin to announce this time.
Jacob: The usual, cost savings, lean office, lack of salary reviews...
Jacob: You know how it is, their visits never result in anything positive.
Alex: That''s true, changes for the worse.",FacEval,[]
1079,13828281,Alpaca-13B,[],[],"Jacob and Alex are discussing a visit from top management from France next week, which has been announced via Outlook with a formal dress code requested. They both expect the visit to involve cost savings, a leaner office and lack of salary reviews, which have been the usual results of previous visits.",0,[],"Jacob: Hey, guess what, top management is coming from France next week.
Alex: Hey, again? They just announced it?
Jacob: Yeah, we got an invitation via Outlook to the meeting.
Jacob: And mandatory formal dress code required.
Alex: OMG, I wonder what they''re goin to announce this time.
Jacob: The usual, cost savings, lean office, lack of salary reviews...
Jacob: You know how it is, their visits never result in anything positive.
Alex: That''s true, changes for the worse.",FacEval,[]
1081,test_51,BART,[],[],##Person1# got hungry and bought some chips. #Person2# suggests getting a transfer from the bus driver.,0,[],"#Person1#: I'm broke, and I have to catch another bus.
#Person2#: Why don't you have any money for another bus?
#Person1#: I got hungry and bought some chips.
#Person2#: That was smart.
#Person1#: Anyway, do you have any change I can use for the bus?
#Person2#: I don't have any.
#Person1#: I don't know how I'm going to get home.
#Person2#: Get a transfer from the bus driver.
#Person1#: How much is a transfer?
#Person2#: It doesn't cost anything.
#Person1#: That's great! Thanks for your help.
#Person2#: You know what? Don't mention it.",DialogSum,[]
1084,test_51,GPT-4,[],[],"Person1 is out of money and needs to catch another bus. They spent their remaining money on food. They ask Person2 for spare change, but they don't have any to give. Person2 suggests that Person1 get a bus transfer from the driver, which is free. Person1 is relieved and thanks Person2 for their suggestion.",0,[],"#Person1#: I''m broke, and I have to catch another bus.
#Person2#: Why don''t you have any money for another bus?
#Person1#: I got hungry and bought some chips.
#Person2#: That was smart.
#Person1#: Anyway, do you have any change I can use for the bus?
#Person2#: I don''t have any.
#Person1#: I don''t know how I''m going to get home.
#Person2#: Get a transfer from the bus driver.
#Person1#: How much is a transfer?
#Person2#: It doesn''t cost anything.
#Person1#: That''s great! Thanks for your help.
#Person2#: You know what? Don''t mention it.",DialogSum,[]
1085,test_51,Alpaca-13B,"['Person2 suggests Person1 should have bought chips instead', 'offers to give Person1 a transfer for the bus ride']","['#Person1# :  I got hungry and bought some chips.', '#Person2# :  Get a transfer from the bus driver.']","Person1 is broke and needs to catch another bus, but doesn't have enough money. Person2 suggests Person1 should have bought chips instead, and offers to give Person1 a transfer for the bus ride. Person1 is grateful for Person2's help.",1,"['Intrinsic_Error', 'Intrinsic_Error']","#Person1#: I''m broke, and I have to catch another bus.
#Person2#: Why don''t you have any money for another bus?
#Person1#: I got hungry and bought some chips.
#Person2#: That was smart.
#Person1#: Anyway, do you have any change I can use for the bus?
#Person2#: I don''t have any.
#Person1#: I don''t know how I''m going to get home.
#Person2#: Get a transfer from the bus driver.
#Person1#: How much is a transfer?
#Person2#: It doesn''t cost anything.
#Person1#: That''s great! Thanks for your help.
#Person2#: You know what? Don''t mention it.",DialogSum,"['Logical Error', 'Referential Error']"
1087,13729697,BART,[],[],Murphy is going to Poanań on Tuesday and coming back the same day in the afternoon.,0,[],"Sophie: When r u going to Poanań?
Murphy: On Tuesday. 
Sophie: And you're coming back the same day?
Murphy: Yes, in the afternoon, but I don't know the exact hour. ",SAMSum,[]
1090,13729697,GPT-4,[],[],"Murphy is planning to go to Poanań on Tuesday and return the same day in the afternoon. However, he is unsure of the specific time he will return.",0,[],"Sophie: When r u going to Poanań?
Murphy: On Tuesday. 
Sophie: And you''re coming back the same day?
Murphy: Yes, in the afternoon, but I don''t know the exact hour. ",SAMSum,[]
1091,13729697,Alpaca-13B,[],[],"Murphy is going to Poanań on Tuesday and will be returning the same day in the afternoon, but he doesn't know the exact hour.",0,[],"Sophie: When r u going to Poanań?
Murphy: On Tuesday. 
Sophie: And you''re coming back the same day?
Murphy: Yes, in the afternoon, but I don''t know the exact hour. ",SAMSum,[]
